City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,montepuez,-13.1256,38.9997,27.11,46,0,3.33,MZ,1715328557
1,bilibino,68.0546,166.4372,0.11,97,100,1.07,RU,1715328559
2,isafjordur,66.0755,-23.124,4.02,75,75,2.06,IS,1715328560
3,port-aux-francais,-49.35,70.2167,7.68,88,100,19.89,TF,1715328560
4,tolanaro,-25.0319,46.9987,26.32,62,0,7.19,MG,1715328561
5,furukawa,38.5717,140.9556,19.75,41,75,1.86,JP,1715328272
6,edinburgh of the seven seas,-37.0676,-12.3116,15.04,86,100,11.47,SH,1715328564
7,waitangi,-43.9535,-176.5597,8.79,88,100,3.13,NZ,1715328565
8,adamstown,-25.066,-130.1015,22.02,82,52,4.09,PN,1715328565
9,jalai nur,49.45,117.7,14.01,48,100,9.45,CN,1715328566
10,ughelli,5.4899,6.0074,29.52,73,97,1.76,NG,1715328567
11,hawaiian paradise park,19.5933,-154.9731,22.24,97,100,2.06,US,1715328569
12,iqaluit,63.7506,-68.5145,-7.66,95,100,0.73,CA,1715328570
13,port mathurin,-19.6833,63.4167,25.22,77,100,11.0,MU,1715328571
14,carnarvon,-24.8667,113.6333,26.34,56,1,6.11,AU,1715328337
15,jamestown,42.097,-79.2353,10.77,93,100,2.06,US,1715328572
16,cururupu,-1.8283,-44.8683,23.82,97,100,0.99,BR,1715328574
17,grytviken,-54.2811,-36.5092,0.41,89,100,1.47,GS,1715328575
18,blackmans bay,-43.0167,147.3167,13.18,91,74,1.13,AU,1715328576
19,zeya,53.75,127.2667,14.71,29,100,1.92,RU,1715328577
20,kodiak,57.79,-152.4072,-1.27,86,0,2.06,US,1715328577
21,puerto natales,-51.7236,-72.4875,-3.18,96,37,1.13,CL,1715328578
22,egilsstadir,65.2653,-14.3948,6.75,54,100,1.47,IS,1715328579
23,essaouira,31.5125,-9.77,19.1,83,100,4.81,MA,1715328580
24,pucon,-39.2822,-71.9543,5.19,96,100,1.4,CL,1715328581
